subscription_id,idempotency_key,owner_student_id,plan_type,plan_name,classes_per_month,classes_remaining,amount_ils,billing_frequency,status,created_at,updated_at
273,user_subscription_details::273,1199,solo,Yearly,32,8,0.00,monthly,cancelled,2023-10-08 08:06:20+05:30,2024-04-09 12:54:56+05:30
275,user_subscription_details::275,1374,solo,Yearly,16,4,0.00,monthly,pending,2023-10-08 12:50:57+05:30,2023-12-14 13:41:04+05:30
276,user_subscription_details::276,1378,solo,Yearly,16,4,0.00,monthly,pending,2023-10-09 11:08:17+05:30,2023-12-14 13:41:39+05:30
277,user_subscription_details::277,1380,solo,Yearly,32,2,0.00,monthly,pending,2023-10-09 12:49:39+05:30,2024-03-03 14:40:13+05:30
278,user_subscription_details::278,1257,solo,Yearly,80,0,0.00,monthly,pending,2023-10-09 17:57:44+05:30,2024-01-31 09:03:03+05:30
279,user_subscription_details::279,1384,solo,Yearly,32,0,0.00,monthly,pending,2023-10-15 12:38:52+05:30,2023-11-18 11:03:25+05:30
280,user_subscription_details::280,1390,solo,Yearly,32,0,0.00,monthly,pending,2023-10-17 09:44:18+05:30,2023-11-21 08:21:22+05:30
281,user_subscription_details::281,1391,solo,Yearly,32,0,0.00,monthly,pending,2023-10-17 09:44:30+05:30,2023-11-21 08:23:57+05:30
282,user_subscription_details::282,1392,solo,Yearly,64,16,0.00,monthly,pending,2023-10-17 10:45:56+05:30,2024-03-09 11:46:04+05:30
283,user_subscription_details::283,1303,solo,Yearly,32,0,0.00,monthly,pending,2023-10-17 14:34:45+05:30,2023-11-17 08:43:01+05:30
284,user_subscription_details::284,1386,solo,Yearly,32,8,0.00,monthly,pending,2023-10-18 06:46:08+05:30,2024-01-29 14:31:10+05:30
285,user_subscription_details::285,1397,solo,Monthly,16,4,0.00,monthly,pending,2023-10-18 14:50:23+05:30,2024-05-26 00:00:06+05:30
286,user_subscription_details::286,1395,solo,Monthly,16,0,0.00,monthly,pending,2023-10-20 09:19:35+05:30,2024-09-27 04:43:48+05:30
287,user_subscription_details::287,1398,solo,Monthly,48,6,0.00,monthly,pending,2023-10-22 07:39:36+05:30,2024-05-22 00:00:04+05:30
288,user_subscription_details::288,1399,solo,Monthly,32,8,0.00,monthly,pending,2023-10-22 14:16:46+05:30,2024-05-22 00:00:05+05:30
289,user_subscription_details::289,1400,solo,Monthly,16,0,0.00,monthly,pending,2023-10-22 14:50:46+05:30,2023-11-22 00:00:04+05:30
290,user_subscription_details::290,1401,solo,Yearly,32,0,0.00,monthly,pending,2023-10-22 16:23:43+05:30,2024-04-14 14:11:03+05:30
291,user_subscription_details::291,1402,solo,Yearly,32,0,0.00,monthly,pending,2023-10-23 08:35:23+05:30,2023-11-23 13:29:00+05:30
292,user_subscription_details::292,1403,solo,Yearly,16,0,0.00,monthly,pending,2023-10-24 14:20:04+05:30,2023-12-22 13:49:23+05:30
293,user_subscription_details::293,1404,solo,Monthly,32,8,0.00,monthly,pending,2023-10-25 05:45:49+05:30,2024-05-25 00:00:05+05:30
294,user_subscription_details::294,1406,solo,Yearly,32,0,0.00,monthly,pending,2023-10-25 08:29:59+05:30,2026-01-26 18:33:25+05:30
